"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"1",1,2,0.377777777777778,0.68,1.76449644388176,2.73628727842354,0.215443640788626,0.541852426376124,2.88767750747142,0.0426023615974209,1.44450030212614,1.02796354934845,1.45203825973281,0.875823119293006,2.74647477831353,1.80467012269795,2.89737968738815,1.57474614515016,2.64298297528926,1.18531131053759
"5",1,6,0.444444444444444,0.571428571428571,2.18341879560624,0.645539534588507,0.579075994476082,2.08055416200787,3.20419954866317,2.87898588217296,1.23977498925634,0.405283622780537,3.38752554149045,2.55986663387676,0.39970315575983,1.27614950457666,2.77793197360127,1.15398879680264,2.76718119275645,1.26397626958822
"20",2,8,0.444444444444444,0.48780487804878,3.15387098495475,1.26896449172885,0.81482444129852,1.63856540153642,2.62527799335413,2.66874599215978,1.51151661417447,0.965782169253659,0.983500852353225,0.772892172368072,2.01721999165746,3.43062936363096,3.3060135214206,0.516081440798784,0.924461720328652,2.96451653694336
"23",2,11,0.422222222222222,0.41304347826087,2.38644602589888,0.311765072842994,0.24342622350943,1.77952983439834,2.81741240847359,2.6929908545423,0.79942756304941,0.177515327090539,0,2.70470505048328,0.887126392201293,2.93708509815373,0,3.19847684930228,1.97419121271828,0.961741672900016
"18",2,6,0.533333333333333,0.406779661016949,2.94943283938699,0.946482369772339,1.72420160920959,1.52631739204207,2.68047129243938,1.56869199100841,0.723957162365638,2.73870459064978,0.455732355848494,0.693784973889428,3.50340809809948,2.68790250206666,1.92883223309678,2.66291010678905,2.68620112583833,1.0936584364387
"61",6,7,0.422222222222222,0.404255319148936,3.35968673872705,0.424007024700763,0.67539398037977,1.64158769474215,2.54123038718468,2.82112048352786,0.918547382877543,1.04467477960244,2.5384825313423,1.10870513715638,3.88909446708887,0.554099430990189,103670.109792732,87487.4478655025,88014.7044587052,40815.8288315841
"63",6,9,0.311111111111111,0.4,0.502016152218618,4.11809853237009,0.187703924636809,1.76585713131462,1.02516527388648,2.38852183612511,1.71281147738726,2.90680779454243,3.59939293060739,0.514949020351095,2.20314649513587,0.602238961781412,2.79578932444657,2.03510325292533,0.465569295639603,0.445163107358853
"62",6,8,0.422222222222222,0.395833333333333,3.48132494664879,1.0000594987424,1.8760451810451,0,2.34053215366738,2.93708509815373,1.25578180341952,0.315470316860584,0.11665438692964,3.88060564180295,3.98119659681162,0.612834360887253,2.92540269349224,1.53705908669503,3.43511113482651,0.0322966585957124
"15",2,3,0.444444444444444,0.384615384615385,2.45217088651989,2.06863938445766,0.381278369178492,1.69124026591,2.65861645169165,1.08186474525506,2.67414966994842,0.728382773268491,0.682241786718796,0.62945024476103,2.31318986014632,1.35400291533291,77115.8419728907,97654.6665940829,103168.343476602,53527.3244286882
"74",7,12,0.355555555555556,0.380952380952381,2.19940073430672,3.95995832376356,1.2363087078622,0.0437756276482533,51328.0407105242,98816.6730508833,102503.354745142,56726.4614651129,2.69416929919635,2.15704658876765,2.67160156780871,0.823188613159476,2.02374482340311,2.53567577345347,1.3503196918664,0.853737015171302
