"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"76",7,14,0.380952380952381,1,2.6526673630468,1.91286523157234,1.69773811711123,2.61310423628658,123373.39614142,101656.166419059,7469.61360226992,57372.6990294125,103646.594515888,61426.2148834348,150482.518610742,30662.4606623062,2.3903233894556,0.884717159322811,1.79944634538342,1.55185131851728
"74",7,12,0.380952380952381,1,1.80278282434781,1.83273593550598,2.95294965108565,1.91569053432958,126332.956549528,156946.950392262,90474.7705382555,73036.4734409049,82196.2914262742,59768.210045339,120229.034678423,18934.5616117053,1.81169951622161,1.57244498585225,2.49579574376288,1.94425255688772
"68",6,14,0.380952380952381,1,3.02967662583865,2.21981606246239,2.46984089628884,1.84499148309055,96312.7043732026,111086.833871536,32957.3689336525,67808.0514934691,66474.4007217759,71407.4571325014,130129.192273426,139943.126078695,2.11624541374202,1.67525116411391,2.47784913727833,2.00939795289937
"88",9,13,0.333333333333333,1,2.69102383421779,1.50719766063462,1.4660456307294,2.02475294062537,2.19810080468071,0.687306194869012,1.87693715463882,2.26998633701667,52910.1903524079,108772.523746359,102465.845665332,159708.55705374,0.748982875766294,3.51029215082905,0.307653753230456,1.87061870203926
"87",9,12,0.333333333333333,1,2.60810260609336,2.76669250443999,1.47703012102125,2.17803020458052,2.46234980540569,2.05041131223129,1.9248081266814,1.97770278946307,76549.068500619,106553.77465542,134568.444191551,60549.4987646605,1.94673471437384,2.47864643651511,2.59495177277632,2.08123098428111
"85",9,10,0.333333333333333,1,2.61184789853926,2.11769812347275,2.09578548466119,2.96414901253046,2.36048577485417,2.2172871638721,1.48017386545681,2.08494547517227,91994.7355300006,118250.075027338,11081.6658942893,33685.0511636516,122083.448605608,92912.0848680445,90759.493585939,73305.4133649296
"66",6,12,0.333333333333333,1,1.79461675393604,1.88512868942846,2.96203518639159,1.88383165392023,108050.475110686,127797.759186511,75307.8767340112,59664.6971541636,83860.4645396881,58831.8027569652,127561.474062236,31910.0718861089,1.80866036863896,1.62154843477823,2.47908925136923,1.99069295618456
"33",3,9,0.333333333333333,1,3.49650975752499,2.48665656702204,0.897965012980377,1.50884011196526,111566.61785288,77942.4734804582,84241.0498490269,144152.83167997,2.00686171983835,2.67888503804422,1.45289163373712,2.80749800617733,1.01793682407138,2.44380769037051,1.97866621156769,1.00996550634627
"13",1,14,0.333333333333333,1,3.23957288360406,0.0553786967226508,1.71023539900969,1.55153680832678,2.11269405406811,1.93068354190011,1.79469388125145,2.74476505425534,126522.457083101,70463.756902063,127495.747624447,84557.0361806702,2.35661063089128,2.1679813036959,2.04896402079986,1.57014308243432
"89",9,14,0.285714285714286,1,2.62891866713927,2.04248710363823,2.00754104811724,2.99168781483217,1.99347652155811,2.16909433199062,2.90909146509246,2.74917842573742,138485.072083343,83531.7926429762,57738.3990541553,131643.55165096,1.97264134982674,2.27106394665647,1.87317255285425,2.36719779926221
"86",9,11,0.285714285714286,1,2.71082048485541,2.44997893207921,1.52395453679088,2.33127700235576,2.12146531815596,1.75466403329989,2.70525633240267,2.31118746462585,73978.8431898987,134055.291546373,109495.934047424,77168.4683335581,3.09611340533992,3.2944836344913,1.72046445631961,1.58205890222718
"81",8,12,0.285714285714286,1,2.64401136415399,2.85122729641227,1.84699400224456,2.19989293018121,3.39326458522798,1.49075573510904,1.85960586371383,3.44678413301211,117433.084559245,71640.7010194063,106644.671231452,86351.724143101,2.51769392300648,2.24188016058903,2.20677463216304,1.86679950836744
"77",7,15,0.285714285714286,1,2.74393702197864,2.66471071350053,1.86774034726071,2.32647916953303,149204.765890414,78375.6874134666,105207.861328871,156239.818736909,3.33422811876192,3.05457372487464,3.44439708880558,1.41859013253047,1.87419444003053,2.5168226112008,2.43762130125375,1.97126187978899
"71",7,9,0.285714285714286,1,2.64313550064121,1.91857349675539,2.59870853085158,2.71945476098656,167184.336195343,108256.044862711,62894.6902595707,97571.3407205533,1.63266229943899,1.98656082961059,2.57730031220884,2.81356516352243,2.61541164289666,2.01791664284575,1.96428955861523,2.09131786249401
"63",6,9,0.285714285714286,1,1.76032816423067,2.86396583367515,2.64024781978568,2.49882158117238,127653.134295874,88731.4707937767,118605.909163644,42980.2955808127,1.59749659987441,1.87334339582965,2.97167559031923,3.00015759226989,2.47533141365217,2.04788256696019,2.01490955022608,1.99652651996973
"59",5,14,0.285714285714286,1,3.39759020580766,1.28135998296604,0.727482055419016,2.93475291601819,2.85026248285829,2.64074368107542,2.02507011825905,1.79877853574368,165069.823159626,72157.2325443203,152507.791723647,66443.8680699867,2.19250964557258,2.14298022426205,2.38637463826518,2.07459231463742
"52",5,7,0.285714285714286,1,2.99256485208229,3.48148665059016,1.19962795921171,0.417061376107428,2.3432770738669,2.25085834052721,2.21025305031884,1.83200540375084,2.45758416989114,1.9491403256269,2.87980196570475,1.37092443342905,126437.579459341,113640.439691597,77679.258593777,82676.7224798217
"51",5,6,0.285714285714286,1,1.1587283548763,0.419389294417482,2.50452344455231,0.140735082146756,2.79878468653041,2.7965182037043,2.05838418148027,1.8471353739186,2.88277724899408,2.99328283174196,2.73287059791406,1.67470817556146,121612.853351004,94523.0114814105,53856.7248588568,58525.1959077728
"36",3,12,0.285714285714286,1,3.36716124845967,1.08942973373517,0.882848757556343,3.03404068322648,110491.961399527,70029.7250920639,68647.981203634,147195.221836489,135139.579497066,54936.2913661962,99051.357763855,115036.719563173,2.36247684987058,2.20917978008186,1.93496518321215,2.00209133043518
"32",3,8,0.285714285714286,1,0.667653719646251,1.54975890100729,1.82432760474103,3.36798732977218,101393.250304404,69161.6930479835,70136.8155643927,147354.968101911,1.91548666459518,2.67383780205166,2.67967321389177,2.54212484920142,3.40605333243444,2.01432129838372,3.30282985463183,1.42999444375371
"30",3,6,0.285714285714286,1,1.38846341613963,2.30660584370421,0.677991777987996,2.59746640205441,73391.4922770643,93269.1773414459,80069.3266119159,165486.63516049,2.36788453172574,2.25904007832987,2.93428413266609,2.53411774132443,126362.96906693,65062.0487276775,102013.970000912,60231.0848193766
"26",2,14,0.285714285714286,1,3.14186107196013,0.716028929570361,1.07808256298437,3.31642231860847,126912.778731429,53866.0592164129,75207.1620320045,79976.3477175011,69850.5517579668,158274.026285952,134312.182345283,165934.786514503,2.13626742362146,2.34384722921216,2.02987780101807,2.45821630179407
"24",2,12,0.285714285714286,1,1.33190086084579,1.31628719289744,0.0147219391083491,3.36674136533938,116244.786822557,51841.1868177646,62712.6299158083,96547.6478871606,142887.923472516,94722.4928225554,55467.0323600834,57588.5722251439,2.27654147296418,2.30922626975012,2.0167003443391,2.12372914581584
