"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"18",2,6,0.333333333333333,0.771084337349398,1.69215314434515,0.658316221620556,0.481561586685836,2.6746922519771,2.5671865125926,4.18905052977032,1.84967495010506,3.92541078599443,2.96554760063812,1.74266089094847,2.68760960898554,2.82371040151652,3.32056452777864,3.4091054679304,2.74775393392389,4.14106221047134
"1",1,2,0.364583333333333,0.707070707070707,0.235024142502991,2.26304862773218,0.500344957348718,2.91415177297806,1.72645714938386,1.95345105163266,3.0327844146126,3.02171264786979,0.130062566491251,1.25572048572459,2.24899187963446,3.00521274847349,2.12533865919822,4.06693246195217,3.34840222899519,4.04240010926581
"5",1,6,0.380208333333333,0.657657657657658,1.46453929550125,0.802154638678456,1.43511909511992,2.85571721652807,1.42579132840066,2.37400926347805,3.01060208723953,2.90266338561961,1.9451231644439,3.05306075642012,2.9448128375817,0.851579862618911,3.77437312082518,3.43155139190403,4.11193329314816,1.90483138749342
"24",2,12,0.359375,0.657142857142857,2.66949150360225,2.62237989296597,1.12514963507296,0.688167400778675,4.05264491147904,3.63227455879894,3.87586287765864,2.28375219291323,4.34022643594291,2.59144451776341,3.09120363256215,3.80754218587668,1.63545238158054,0.397027000014703,1.89690706562222,0.563556521140959
"41",4,6,0.328125,0.642857142857143,0.335731883827397,2.16781580534599,2.07243118982638,2.67099537399863,2.15328969957128,2.73060182842506,0.683046552744954,2.18736924003864,1.46177184542865,3.04860484903399,3.03509595821616,2.31425660079231,4.12653342963468,1.96196811619351,3.62454599734781,4.32435751834602
"23",2,11,0.34375,0.640776699029126,0.133848170637917,2.73726026703482,1.53459895863825,2.4916931503705,3.64570844778088,4.02131806180756,2.28423891507933,3.56770353114936,4.00838324301125,3.87189034615461,1.01375119586098,3.34579958562865,2.58075624119141,1.3811501462169,0.129376470161481,2.42694602574546
"16",2,4,0.390625,0.635593220338983,3.33483786555873,0.439332752227484,1.01335703496587,0.874275917834073,4.21217265593808,2.72423159089869,3.86171103395298,2.0960264131847,3.30404244028836,1.21926565684995,0.366144434091222,0.773678016180797,2.62225386896634,0.726343633137581,1.56315675010133,2.27604932694178
"17",2,5,0.375,0.631578947368421,2.25176294548981,2.65748877475285,0.614246467923161,0.435977198386211,4.26463314231893,3.55992093085694,2.02180192361336,3.8351159790656,2.45253832889082,0.965370554889036,2.77853294930028,0.543592715623113,0.114850219434326,1.71024827133811,1.5356630031707,1.17102685134459
"51",5,6,0.375,0.545454545454545,2.82370397660437,0.557645545854621,2.46000140056193,1.07466614234407,1.60960027861354,1.93030127217286,0.627162899639904,0.808402744386965,1.78990349153215,1.61236757479271,2.99422116923369,2.78192372596881,3.68731212985497,4.36887589085876,4.4418958285139,2.44732007809947
"15",2,3,0.302083333333333,0.537037037037037,2.11667757268661,3.83121771440361,0.242986266285529,1.47638825304837,3.93005901094814,4.45954925375383,2.66405449894829,2.84338559211284,3.52933291110808,1.77119517700999,0.260207725229919,1.72788869394225,1.76456098664923,0.262441406563129,2.96383122600392,3.11190925040083
"22",2,10,0.328125,0.477272727272727,1.00764480219981,2.0815974816575,0.403408254857508,3.25839316956278,2.27089292625161,2.76050180217067,3.22329969631288,4.33758469388399,4.27430570002333,3.67818093143036,2.47073689092109,3.87539103183399,2.99119183945699,0.432846794307843,1.18011263425035,0.73521154989606
"20",2,8,0.484375,0.476923076923077,3.21800441558254,0.354279427313156,1.74951360253786,1.93591029885736,4.2389569664753,2.97012763541303,4.31026859107047,2.41133294159327,3.11190770528389,1.92342078204648,2.88811722128075,1.39587547495968,1.14150037404802,2.66790910726258,2.63976825821547,0.23457991289444
"27",2,15,0.5,0.385542168674699,3.57701711112843,0.31712790488671,1.2090718963619,0.731006644397566,4.49349953740488,2.96732905405071,4.07738025270842,1.19951777767164,2.86779988083843,2.3991933164621,0.549456484646563,0,1.8757173645144,0.0766675743494579,0.798004775533956,1.21981000697945
"25",2,13,0.380208333333333,0.370558375634518,1.64679432196698,0.919694782680933,3.53226784995499,1.91368853715056,3.72699145786955,2.52621771286464,4.38425504138307,2.57644179590488,0.447626112486082,3.00685675376889,0.59590131894126,2.62998513278515,1.9687421727629,2.76621203329717,2.60442284163455,0.213961309134064
"26",2,14,0.375,0.365482233502538,0,3.33956424622721,1.2587291972378,2.21699038800117,2.88661530369912,4.37225573085018,1.53549623470486,4.41476015806391,2.94579688229934,0.668813913859938,2.75961438547041,0.0437097674090402,1.7258306903597,1.55266561549038,0.596382101375332,0.223972250188302
"72",7,10,0.390625,0.357142857142857,2.78249211115564,2.31844054296594,3.20768143005051,2.70510437920753,0.844672956039465,1.08626727611526,2.31537385614014,3.09824356364958,4.37572619205947,3.67759359537999,2.71378762289068,3.98958216224375,2.36451731115242,0.278276229704672,2.12502200481623,3.05920455197567
"73",7,11,0.317708333333333,0.352601156069364,2.2766163129151,2.26422150251252,2.76027175646724,3.07110286221134,2.1900827655669,0.998552294301149,2.40585316458632,1.26261914213986,3.08077440626625,4.06474297492866,4.4033588429215,2.87962639947575,0.319437995965421,1.43665967863721,2.58443995723912,2.43170207163958
"65",6,11,0.375,0.333333333333333,2.5486252796781,2.85940382906523,2.42201134919487,2.9898606440408,1.60341905144282,1.98037925559564,3.9095296992823,4.14593366000815,4.20487621502313,1.89409163668312,1.88683224112706,4.0350421291282,0.941327007101794,1.5533390181459,1.1982626717336,2.82563519073284
