"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"89",9,14,0.336109008327025,0.930817610062893,2.86997307669506,3.92318290384536,2.78218180034597,3.95821052612331,2.36986893089038,2.95482396367094,1.68662084312238,2.04131820831752,2.48798916326697,4.50139975789483,3.95676212087071,3.61690568814548,1.89955246937939,3.01279279923255,2.18538455932329,2.68364368325825
"88",9,13,0.3444360333081,0.928571428571429,2.5134310733302,3.43031613977992,1.18228708097407,3.9874574995029,0.505473675631209,1.94608046423467,1.48077656865289,3.14152050866186,2.06339072917028,2.9403393240529,1.49289341237546,4.5776984991032,1.33540751435147,0.816295164540844,1.04775468870486,1.65291874302109
"83",8,14,0.328538985616957,0.927350427350427,3.47746939285003,3.58903164661811,2.43544070377737,1.25294660766618,1.09086933618464,1.71198627067215,0.135736845604904,1.56339232763308,2.07760335673036,3.79233265676644,4.52800964801094,2.64399524868333,1.57755842922488,2.6202765670094,2.49064934581598,1.22719359691095
"90",9,15,0.402725208175625,0.926829268292683,3.72707200696838,3.99779440903141,1.54123605643749,2.87600245899493,2.83709498564493,1.4262105035453,1.64963135656909,0.479328537542717,1.69978933317903,1.4742166444059,0.889266335934145,0.0689771398418162,1.38308092329533,2.92038975330415,2.65739179784076,0.109271087864095
"76",7,14,0.3111279333838,0.925675675675676,3.15013235435186,3.9205874415808,3.19979447687542,3.83810975682965,4.49789104592459,3.31514910639119,1.8303089591565,4.24747714908328,2.67683719552076,4.00145354077629,4.45234891328372,2.6323901051954,2.49275672602325,2.21980772622694,3.00222662903946,1.86329853930368
"71",7,9,0.30885692657078,0.925170068027211,3.76008668385936,3.32846940843646,3.88287850514142,1.08977995904152,4.40724189291935,4.36498584830281,2.23544285630464,3.0889992940965,2.91400924055068,3.80225305761224,3.8493332347012,3.17788633805553,1.81229485963163,2.8332785402938,1.83465470989882,2.61062425473657
"87",9,12,0.30885692657078,0.920993227990971,3.76824006750485,3.50383016330019,1.12701759008416,3.7121161580965,2.53934680959478,0.470221230566083,0.879997182199227,2.86305232356769,1.12024422942501,2.64483624689152,0.544750040106374,3.17139201539155,2.66884507019631,1.624617211318,1.78115634959974,2.81655081574062
"84",8,15,0.368660105980318,0.920604914933837,3.28816704143508,1.95708298982515,2.25428571530948,3.89432816798806,1.77226275319405,0.35698357570669,1.28608964497402,1.04042397771422,1.26863874181402,0.373415356064853,1.51779498514557,1.56407104842881,0.569387648093283,1.75652076240692,2.21473575034343,2.79884101238702
"77",7,15,0.349735049205148,0.920318725099602,2.62274223440458,2.8620101015306,2.59190097591597,3.93225886465674,3.36545849930814,1.4439261838138,1.22567226334997,4.47004153376868,0.970919460330833,0.663656806146925,1.64172072511171,1.57993621578951,1.36089095655069,2.09265829685885,2.44437332621192,3.11293655982097
"78",8,9,0.423164269492808,0.919407894736842,2.51312895880257,3.14191751560384,3.89389441584169,0.682918297425686,0.330506090098519,0.787547432876875,1.50977115384889,1.52063853781505,2.83868060711895,3.67803726327853,0.919577982399906,3.91262578139706,1.4550418975974,2.92586252447189,1.20909717687406,2.67532400953701
"103",13,14,0.305828917486752,0.918181818181818,3.9306804495175,2.17353768849241,4.23407932615525,4.03709582090708,1.7162900479137,1.2514559226628,1.46245818561809,0.492625976084491,4.40500696023487,3.39940572126115,4.09855412452147,3.10544652150907,2.58180978126541,2.60388536606181,2.23888301631539,1.7922779384155
"69",6,15,0.398183194549584,0.917975567190227,3.33581030858149,3.86119623712488,3.7236896795084,1.96757397175348,3.30194530280641,3.28552920455966,0.972248575132562,0.865849508255833,0.844172313732952,1.96659463730737,1.53682280109265,0.84833296970625,1.80651395578334,2.58055389052296,3.1163443501206,2.85984614145284
"105",14,15,0.317183951551855,0.916849015317287,3.06147940589003,4.36550849394095,3.81881815071077,4.2629454694006,2.09440669122507,2.56332660435653,1.72912241164698,2.85588743375546,0.0592708269751842,1.18773953710313,1.85483894873697,0.211622067713517,2.93283767916659,1.89194394434597,2.80293149077923,2.20568016655691
"63",6,9,0.395912187736563,0.915936952714536,3.43568296292158,2.55436381652868,2.09540590529626,3.83714680560927,0.685373998041486,2.77234106456141,1.43560370553805,3.0674598614168,3.3099057170341,4.01909409417702,1.97872961989337,2.59002429294138,1.656286439723,3.09363574371668,1.80289372256849,0.555372117312625
"79",8,10,0.360333080999243,0.915384615384615,1.95956571619668,4.0069182677748,0.654276319637763,3.75593547395679,0.556106218257523,1.94824298043574,0.652778078948677,1.26643569912854,0.452961418383308,3.11382575779373,2.54918156659507,0.624087006446208,3.86896018676744,4.44649300971041,2.90390575944589,2.12198018542794
"70",7,8,0.340651021953066,0.912778904665314,3.65982951995517,1.41217066801086,2.05007230081043,3.85289523560148,2.51229328322103,2.02712011658504,1.62164496724527,4.41887255361767,2.08048226931143,3.812546137994,3.36746022020364,2.76968624894932,1.46030804601861,1.55122425457497,0.647414176802317,0.791596522261684
"61",6,7,0.340651021953066,0.912778904665314,3.51449442541669,3.13365407342962,2.76939883404457,3.69867804799005,1.41678887940322,0.637908162539406,2.5198603138012,3.24429575361073,3.36667443697982,3.94502503015374,1.90781016887667,2.89345472272588,1.42342635358093,4.42312518979886,3.72691589160301,1.96428685646683
"86",9,11,0.449659348978047,0.912442396313364,3.13772585871128,4.00287693388403,1.36464331914223,2.85528333674005,1.0907889416541,3.13403254997409,1.64271391413872,1.05740985858996,0.649734551624439,3.21796149055878,2.91611374229727,1.50255164116448,1.55855111654242,1.94419287945952,1.15271810245169,0.00922407185331005
