"","x"
"1","PE.Cy7.A"
"2","BV510.A"
"3","PE.A"
"4","BV605.A"
"5","BUV395.A"
"6","BV750.A"
"7","BV421.A"
"8","FSC.W"
"9","PE.CF594.A"
"10","PerCP.Cy5.5.A"
"11","FSC.A"
"12","FSC.H"
"13","mCFP.A"
"14","SSC.W"
"15","SSC.H"
"16","APC.Cy7.A"
"17","SSC.A"
"18","PE.Cy5.A"
"19","FITC.BB515.A"
"20","BUV496.A"
"21","BUV737.A"
"22","APC.A"
"23","BV650.A"
"24","BV711.A"
