"","x"
"1","PE.A"
"2","BV605.A"
"3","PE.Cy7.A"
"4","mCFP.A"
"5","BV421.A"
"6","PE.CF594.A"
"7","PerCP.Cy5.5.A"
"8","APC.Cy7.A"
"9","BV750.A"
"10","BUV496.A"
"11","BV510.A"
"12","BUV395.A"
"13","BV650.A"
"14","FITC.BB515.A"
"15","SSC.H"
"16","APC.A"
"17","BUV737.A"
"18","BV711.A"
"19","FSC.H"
"20","SSC.A"
"21","SSC.W"
"22","FSC.W"
"23","FSC.A"
"24","PE.Cy5.A"
